date,region,price_type,price_per_sqm,n_regions
2020-06-01,beja,sale,758,1
2020-06-01,braga,rental,6.3,1
2020-06-01,braga,sale,1019,1
2020-06-01,braganca,sale,751,1
2020-06-01,castelo-branco,rental,4.9,1
2020-06-01,castelo-branco,sale,687,1
2020-06-01,coimbra,rental,6.6,1
2020-06-01,coimbra,sale,1113,1
2020-06-01,evora,rental,7.1,1
2020-06-01,evora,sale,868,1
2020-06-01,faro,rental,9.6,1
2020-06-01,faro,sale,2286,1
2020-06-01,guarda,sale,1121,1
2020-06-01,leiria,rental,5.5,1
2020-06-01,leiria,sale,1121,1
2020-06-01,lisboa,rental,13.7,1
2020-06-01,lisboa,sale,3282,1
2020-06-01,madeira,rental,7.6,1
2020-06-01,madeira,sale,1442,2
2020-06-01,portalegre,sale,641,1
2020-06-01,porto,rental,9.8,1
2020-06-01,porto,sale,2061,1
2020-06-01,portugal,rental,11.5,1
2020-06-01,portugal,sale,2034,1
2020-06-01,santarem,rental,5,1
2020-06-01,santarem,sale,767,1
2020-06-01,setubal,rental,8.4,1
2020-06-01,setubal,sale,1638,1
2020-06-01,viana-do-castelo,rental,5.4,1
2020-06-01,viana-do-castelo,sale,1005,1
2020-06-01,vila-real,sale,766,1
2020-06-01,viseu,rental,4.7,1
2020-06-01,viseu,sale,812,1
2020-07-01,aveiro,rental,6.5,1
2020-07-01,aveiro,sale,1157,1
2020-07-01,azores,rental,6.9,1
2020-07-01,azores,sale,926.25,4
2020-07-01,beja,sale,771,1
2020-07-01,braga,rental,6.2,1
2020-07-01,braga,sale,1028,1
2020-07-01,braganca,sale,787,1
2020-07-01,castelo-branco,rental,5,1
2020-07-01,castelo-branco,sale,696,1
2020-07-01,coimbra,rental,6.5,1
2020-07-01,coimbra,sale,1131,1
2020-07-01,evora,rental,7.1,1
2020-07-01,evora,sale,884,1
2020-07-01,faro,rental,9.9,1
2020-07-01,faro,sale,2284,1
2020-07-01,guarda,sale,1123,1
2020-07-01,leiria,rental,5.5,1
2020-07-01,leiria,sale,1123,1
2020-07-01,lisboa,rental,13.5,1
2020-07-01,lisboa,sale,3234,1
2020-07-01,madeira,rental,7.6,1
2020-07-01,madeira,sale,1435.5,2
2020-07-01,portalegre,sale,650,1
2020-07-01,porto,rental,9.8,1
2020-07-01,porto,sale,2039,1
2020-07-01,portugal,rental,11.4,1
2020-07-01,portugal,sale,2021,1
2020-07-01,santarem,rental,5,1
2020-07-01,santarem,sale,771,1
2020-07-01,setubal,rental,8.3,1
2020-07-01,setubal,sale,1635,1
2020-07-01,viana-do-castelo,rental,5.3,1
2020-07-01,viana-do-castelo,sale,982,1
2020-07-01,vila-real,rental,4.6,1
2020-07-01,vila-real,sale,771,1
2020-07-01,viseu,rental,4.5,1
2020-07-01,viseu,sale,822,1
2020-08-01,aveiro,rental,6.7,1
2020-08-01,aveiro,sale,1189,1
2020-08-01,azores,rental,6.8,1
2020-08-01,azores,sale,926.75,4
2020-08-01,beja,sale,787,1
2020-08-01,braga,rental,6.1,1
2020-08-01,braga,sale,1035,1
2020-08-01,braganca,sale,785,1
2020-08-01,castelo-branco,rental,5,1
2020-08-01,castelo-branco,sale,697,1
2020-08-01,coimbra,rental,6.5,1
2020-08-01,coimbra,sale,1150,1
2020-08-01,evora,rental,7.7,1
2020-08-01,evora,sale,861,1
2020-08-01,faro,rental,9.9,1
2020-08-01,faro,sale,2317,1
2020-08-01,guarda,sale,1134,1
2020-08-01,leiria,rental,5.7,1
2020-08-01,leiria,sale,1134,1
2020-08-01,lisboa,rental,13.4,1
2020-08-01,lisboa,sale,3235,1
2020-08-01,madeira,rental,7.7,1
2020-08-01,madeira,sale,1435,2
2020-08-01,portalegre,sale,633,1
2020-08-01,porto,rental,9.8,1
2020-08-01,porto,sale,2046,1
2020-08-01,portugal,rental,11.3,1
2020-08-01,portugal,sale,2038,1
2020-08-01,santarem,rental,5,1
2020-08-01,santarem,sale,780,1
2020-08-01,setubal,rental,8.3,1
2020-08-01,setubal,sale,1654,1
2020-08-01,viana-do-castelo,rental,5.2,1
2020-08-01,viana-do-castelo,sale,992,1
2020-08-01,vila-real,rental,4.4,1
2020-08-01,vila-real,sale,770,1
2020-08-01,viseu,rental,4.7,1
2020-08-01,viseu,sale,832,1
2020-09-01,aveiro,rental,6.9,1
2020-09-01,aveiro,sale,1203,1
2020-09-01,azores,rental,7,1
2020-09-01,azores,sale,942,4
2020-09-01,beja,sale,779,1
2020-09-01,braga,rental,6,1
2020-09-01,braga,sale,1030,1
2020-09-01,braganca,sale,767,1
2020-09-01,castelo-branco,rental,4.8,1
2020-09-01,castelo-branco,sale,688,1
2020-09-01,coimbra,rental,6.6,1
2020-09-01,coimbra,sale,1153,1
2020-09-01,evora,rental,7.2,1
2020-09-01,evora,sale,857,1
2020-09-01,faro,rental,9.4,1
2020-09-01,faro,sale,2324,1
2020-09-01,guarda,sale,1131,1
2020-09-01,leiria,rental,5.7,1
2020-09-01,leiria,sale,1131,1
2020-09-01,lisboa,rental,13.3,1
2020-09-01,lisboa,sale,3253,1
2020-09-01,madeira,rental,7.7,1
2020-09-01,madeira,sale,1444.5,2
2020-09-01,portalegre,sale,633,1
2020-09-01,porto,rental,9.7,1
2020-09-01,porto,sale,2056,1
2020-09-01,portugal,rental,11.2,1
