date,aveiro_rental,aveiro_sale,azores_sale,beja_sale,braga_sale,braganca_sale,castelo-branco_sale,coimbra_sale,evora_sale,faro_rental,faro_sale,guarda_sale,leiria_rental,leiria_sale,lisboa_rental,lisboa_sale,madeira_sale,portalegre_sale,porto_rental,porto_sale,portugal_rental,portugal_sale,santarem_rental,santarem_sale,setubal_rental,setubal_sale,viana-do-castelo_sale,vila-real_sale,viseu_sale,braga_rental,castelo-branco_rental,coimbra_rental,madeira_rental,viana-do-castelo_rental,vila-real_rental,viseu_rental,beja_rental,guarda_rental,evora_rental,portalegre_rental,azores_rental
2015-12-01,3.9,819,884,845,745,662,713,1133,869,5.3,1466,869,3.7,869,7.6,1509,1122.5,661,5.3,975,5.5,1136,3.4,732,4.8,968,945,792,744,3.5,3.1,4.5,4.9,4.2,3.4,3.6,4.2,NA,5.5,3.3,NA
2016-01-01,4,801,867.5,821,756,653,678,1069,883,5.5,1458,877,3.8,877,7.8,1530,1127,674,5.6,1022,5.7,1145,3.4,742,4.8,967,932,802,741,3.6,3.1,4.6,5.3,4.2,3.4,3.4,4.1,NA,5.5,NA,NA
2016-02-01,4,806,888.5,846,762,655,701,1077,893,5.5,1454,878,3.8,878,8,1597,1138.5,657,5.6,1043,5.8,1169,3.5,725,4.9,972,942,819,742,3.4,3.2,4.6,5.3,4.2,3.5,3.4,4.4,NA,5.1,NA,NA
2016-03-01,4,807,897.5,837,744,679,676,1070,952,5.5,1455,863,3.8,863,7.9,1636,1175.5,653,5.5,1006,5.7,1177,3.5,721,4.8,993,950,823,769,3.4,3.2,4.5,5.1,4.1,3.4,3.3,4.1,NA,5.6,NA,NA
2016-04-01,4,809,895.5,832,734,680,685,1052,915,5.7,1459,854,3.9,854,8,1650,1178,650,5.7,1009,5.8,1167,3.5,728,4.9,990,948,818,761,3.5,3.4,4.5,5.8,4,5.5,3.3,4.2,NA,4.8,NA,NA
2016-05-01,4,798,848.6666666666666,831,729,677,680,1048,865,5.6,1473,841,4,841,8.1,1698,1172,664,5.8,1000,5.8,1165,3.4,730,4.9,981,952,798,737,3.4,3.6,4.5,5.9,3.9,5,3.3,4.1,3,4.9,NA,NA
2016-06-01,4.1,799,858.6666666666666,810,726,680,672,1085,881,5.8,1483,846,3.7,846,8.2,1718,1138,659,5.7,1005,5.9,1184,3.4,725,4.9,1001,983,796,772,3.5,3.8,4.5,5.7,3.8,3.5,3.4,4.1,2.9,4.4,NA,NA
2016-07-01,4.2,799,878,790,741,678,698,1088,862,6.3,1493,854,3.8,854,8.4,1758,1162,639,5.9,1023,6,1193,3.4,721,4.9,1012,958,787,746,3.6,3.7,4.6,6,4,3.4,3.4,4.2,NA,4.1,NA,NA
2016-08-01,4.1,800,863.3333333333334,808,741,675,701,1047,870,6.2,1498,853,3.9,853,9.3,1764,1144.5,649,6.5,1022,6.5,1193,3.4,720,4.9,1006,940,786,754,3.6,3.7,4.9,5.7,4,3.5,3.4,4.5,NA,4.7,NA,NA
2016-09-01,4,806,845.6666666666666,822,736,703,700,1014,921,6,1512,849,3.8,849,9.6,1764,1194.5,600,6.7,1028,6.7,1213,3.4,719,4.9,1013,954,806,729,3.6,3.8,5,5.2,4,3.6,3.3,4.2,NA,4.7,3.3,NA
2016-10-01,4.1,810,856.3333333333334,787,737,679,694,1013,878,6,1514,854,3.9,854,9.9,1845,1143,611,7,1041,6.9,1233,3.6,733,5.1,1021,932,781,717,4.6,3.7,5.1,5.4,3.9,3.4,3.2,4.1,2.8,5.2,3.2,NA
2016-11-01,4.1,812,850,794,741,674,682,1010,889,6.1,1541,861,4,861,10.5,1925,1157,614,7.5,1059,7.3,1273,3.6,752,5.2,1035,934,785,720,5.5,3.7,5.3,5.8,4,3.5,3.1,4.1,2.9,4.9,3.4,NA
2016-12-01,4,813,839.6666666666666,770,735,701,674,1006,908,6,1547,879,4,879,11,1955,1159.5,601,8.1,1081,7.7,1286,3.5,735,5.3,1026,948,826,733,4.3,3.8,5.3,5.8,4,3.6,3.2,4.3,2.7,4.8,3.4,NA
2017-01-01,4,814,876.5,766,737,698,665,1016,923,6.3,1567,890,3.9,890,11.5,2002,1202,594,8.2,1084,8,1293,3.5,734,5.3,1035,946,823,738,4.2,3.9,5.3,5.9,3.9,5.3,3.3,4.3,NA,5.1,NA,NA
2017-02-01,4,809,877.75,769,742,688,681,965,924,6.5,1598,900,4,900,11.6,2036,1204.5,594,8,1091,8,1306,3.6,735,5.4,1039,932,788,728,4.2,4,5.3,6.1,3.9,5,3.3,4.8,NA,5.1,3.5,NA
2017-03-01,4.1,819,861.75,765,750,708,687,972,878,6.7,1619,901,3.9,901,11.5,2083,1197.5,590,7.9,1113,7.9,1330,3.6,743,5.4,1050,939,799,720,4,3.8,5.3,5.9,3.8,4.9,3.2,4.8,NA,4.9,3.4,NA
2017-04-01,4,827,867.25,782,757,698,686,969,890,6.8,1636,905,3.9,905,11.4,2165,1191.5,589,7.8,1129,7.9,1354,3.7,736,5.5,1061,906,789,719,4,3.8,5.2,5.6,3.6,3.2,3.1,4.4,NA,4.8,NA,NA
2017-05-01,4.1,826,856,770,763,699,681,982,861,6.8,1643,896,4,896,11.3,2195,1235,583,7.6,1134,7.8,1362,4.1,723,5.4,1068,910,783,720,4.1,3.8,5.2,6,3.6,3.2,3.2,NA,NA,5.1,3.3,NA
2017-06-01,4.1,830,860.25,776,766,685,676,991,872,6.9,1664,902,4.2,902,11.7,2222,1211.5,730,7.9,1152,8.1,1381,4.1,720,5.6,1080,913,779,725,4.1,3.6,5.2,5.5,3.7,3.3,3.2,4.4,NA,5,NA,NA
2017-07-01,4.2,836,851.25,771,766,678,679,994,868,7.3,1702,910,4.2,910,11.8,2274,1273,728,7.8,1162,8.2,1401,4.1,724,5.7,1092,909,786,733,4.2,3.7,5.2,6.1,4.1,3.3,3.3,NA,NA,4.9,NA,NA
2017-08-01,4.5,833,810.75,766,779,682,679,994,849,7.1,1712,910,4.3,910,11.7,2356,1262.5,725,7.5,1176,8.2,1422,3.7,729,5.9,1101,898,742,728,4.3,3.8,4.9,6.6,4,3.4,3.3,NA,NA,5.3,NA,NA
2017-09-01,4.7,848,853.75,770,780,673,679,997,890,6.9,1753,915,4.3,915,11.8,2397,1305,720,7.7,1187,8.3,1449,3.7,731,6.3,1109,905,752,735,4.4,3.8,5.1,6.4,3.7,3.7,3.3,4.2,NA,5.3,NA,NA
